"ID";"File";"Local_X";"Local_Y";"Real_X";"Real_Y";"Red";"Green";"Blue";"species";"Title";"Gattungsname"
1;"0-2_0107map_1_0.tif";482;600;73,1226563528429;34,163147346471;0;0;255;"horsfieldii";"Delias belladonna horsfieldii G. R. Gray 1831 SSS Fabr. Thyca horsfieldii Gray. — Moore 1874";"Delias"
2;"0-2_0107map_2_0.tif";482;600;73,1226563528429;34,163147346471;0;0;255;"horsfieldii";"Delias belladonna horsfieldii G. R. Gray 1831 SSS Fabr. Thyca horsfieldii Gray. — Moore 1874";"Delias"
3;"0-2_0120map_1_0.tif";189;286;71,5574896107782;35,840493274827;0;0;255;"alpherakii";"Colias alpherakii Staudinger, 1882";"Colias"
4;"0-2_0120map_1_0.tif";641;255;73,9720130490487;36,0060911212571;0;0;255;"alpherakii";"Colias alpherakii Staudinger, 1882";"Colias"
5;"0-2_0120map_1_0.tif";211;230;71,6750106630834;36,1396377716039;0;0;255;"alpherakii";"Colias alpherakii Staudinger, 1882";"Colias"
6;"0-2_0120map_1_0.tif";410;218;72,7380419998441;36,2037401637703;0;0;255;"alpherakii";"Colias alpherakii Staudinger, 1882";"Colias"
7;"0-2_0120map_1_0.tif";362;214;72,4816324311782;36,2251076278258;0;0;255;"alpherakii";"Colias alpherakii Staudinger, 1882";"Colias"
8;"0-2_0120map_1_0.tif";500;174;73,2188099410926;36,4387822683807;0;0;255;"alpherakii";"Colias alpherakii Staudinger, 1882";"Colias"
9;"0-2_0120map_1_0.tif";411;136;72,7433838658579;36,6417731769079;0;0;255;"alpherakii";"Colias alpherakii Staudinger, 1882";"Colias"
10;"0-2_0120map_1_0.tif";489;121;73,16004941494;36,721901167116;0;0;255;"alpherakii";"Colias alpherakii Staudinger, 1882";"Colias"
11;"0-2_0120map_2_0.tif";189;286;71,5574896107782;35,840493274827;0;0;255;"alpherakii";"Colias alpherakii Staudinger, 1882";"Colias"
