"species";"legend_key";"legend_index";"search_specie";"file_name";"map_name"
"Gomalia elma (Trimen, 1862)";0;0;"elma";"D:/distribution_digitizer/data/input/pages\0041.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0041map_1_0.tif"
"Aporia belucha leechii (Moore, 1904)";0;0;"belucha";"D:/distribution_digitizer/data/input/pages\0105.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0105map_1_0.tif"
"Aporia belucha leechii (Moore, 1904)";0;0;"leechi";"D:/distribution_digitizer/data/input/pages\0105.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0105map_1_0.tif"
"Delias eucharis (Drury, 1773)";0;0;"eucharis";"D:/distribution_digitizer/data/input/pages\0107.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0107map_1_0.tif"
"Colotis etrida (Boisduval, 1836)";0;0;"etrida";"D:/distribution_digitizer/data/input/pages\0111.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0111map_1_0.tif"
"Ixias pyrene kausala (Moore, 1877)";0;0;"kausala";"D:/distribution_digitizer/data/input/pages\0116.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0116map_1_0.tif"
"Ixias marianne (Cramer, [1779])";0;0;"marianne";"D:/distribution_digitizer/data/input/pages\0116.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0116map_1_1.tif"
"Eurema hecabe (Linnaeus, 1758)";0;0;"hecabe";"D:/distribution_digitizer/data/input/pages\0131.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0131map_1_0.tif"
"Eurema blanda silhetana (Wallace, 1867)";0;0;"silhetana";"D:/distribution_digitizer/data/input/pages\0132.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0132map_1_0.tif"
"Eurema brigitta rubella (Wallace, 1867)";0;0;"rubella";"D:/distribution_digitizer/data/input/pages\0132.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0132map_1_1.tif"
"Status of taxa trifurcata Moore, 1882, uniformis Moore, 1882 and lunulifera";0;0;"uniformis";"D:/distribution_digitizer/data/input/pages\0135.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0135map_1_2.tif"
"Deudoryx epijarbas (Moore, [1858])";0;0;"epijarbas";"D:/distribution_digitizer/data/input/pages\0137.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0137map_1_1.tif"
"Rapala iarbus (Fabricius, 1787)";0;0;"iarbus";"D:/distribution_digitizer/data/input/pages\0138.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0138map_1_0.tif"
"Virachola isocrates (Fabricius, 1793)";0;0;"isocrates";"D:/distribution_digitizer/data/input/pages\0140.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0140map_1_0.tif"
"Arhopala rama (Kollar, 1844)";0;0;"rama";"D:/distribution_digitizer/data/input/pages\0140.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0140map_1_1.tif"
"Arhopala dodonaea (Moore, [1858])";0;0;"dodonaea";"D:/distribution_digitizer/data/input/pages\0141.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0141map_1_0.tif"
"Panchala ganesa (Moore, [1858])";0;0;"ganesa";"D:/distribution_digitizer/data/input/pages\0141.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0141map_1_1.tif"
"Neozepbyrus syla (Kollar, 1844)";0;0;"syla";"D:/distribution_digitizer/data/input/pages\0143.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0143map_1_0.tif"
"Lycaena phlaeas comedarum (Groum-Grshimailo, 1890)";0;0;"comedarum";"D:/distribution_digitizer/data/input/pages\0148.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0148map_1_0.tif"
"Lampides boeticus (Linnaeus, 1767)";0;0;"boeticus";"D:/distribution_digitizer/data/input/pages\0154.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0154map_1_0.tif"
"Catochrysops strabo (Fabricius, 1793)";0;0;"strabo";"D:/distribution_digitizer/data/input/pages\0156.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0156map_1_0.tif"
"Tarucus venosus Moore, 1882";0;0;"venosus";"D:/distribution_digitizer/data/input/pages\0158.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0158map_1_0.tif"
"Tarucus nara (Kollar, 1844)";0;0;"nara";"D:/distribution_digitizer/data/input/pages\0158.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0158map_1_1.tif"
"Zizina otis indica (Murray, 1874)";0;0;"indica";"D:/distribution_digitizer/data/input/pages\0165.tif";"D:/test//output_2024-08-11_23-16-30/maps/matching/0-2_0165map_1_0.tif"
