File,Detection method,X,Y,georef
59-2_0064map_1_0__danna.tif,point_filtering,901,322,0
59-2_0064map_1_0__danna.tif,point_filtering,923,301,0
59-2_0064map_1_0__danna.tif,point_filtering,904,261,0
59-2_0064map_1_0__danna.tif,point_filtering,798,225,0
59-2_0064map_1_0__danna.tif,point_filtering,947,129,0
59-2_0064map_1_1__augias.tif,point_filtering,971,514,0
59-2_0064map_1_1__augias.tif,point_filtering,863,321,0
59-2_0064map_2_0__danna.tif,point_filtering,901,322,0
59-2_0064map_2_0__danna.tif,point_filtering,923,301,0
59-2_0064map_2_0__danna.tif,point_filtering,904,261,0
59-2_0064map_2_0__danna.tif,point_filtering,798,225,0
59-2_0064map_2_0__danna.tif,point_filtering,946,128,0
59-2_0064map_2_1__augias.tif,point_filtering,970,512,0
59-2_0064map_2_1__augias.tif,point_filtering,863,320,0
59-2_0064map_2_2__ancilla.tif,point_filtering,966,502,0
59-2_0064map_2_2__ancilla.tif,point_filtering,921,312,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1034,197,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1103,192,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,979,188,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1011,171,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,801,160,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1104,154,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,864,131,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,947,121,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,922,124,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,799,108,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,943,93,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,903,60,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1023,55,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1016,53,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1018,52,0
64-2_0069map_1_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1020,51,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,842,221,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1034,197,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1104,192,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,979,188,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1011,170,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,801,160,0
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,point_filtering,1104,154,0
